# {"t_start": 1613495657.3274457, "env_id": "HalfCheetah-v2"} 
r,l,t
-191.546395,1000,0.139515
-219.542827,1000,9.798696
-306.296536,1000,19.767166
-286.195626,1000,28.323495
-330.580984,1000,39.439155
-234.961742,1000,48.705663
-222.841469,1000,57.523922
-217.818099,1000,66.603031
-320.610227,1000,77.941503
-403.069287,1000,86.696669
-77.90983,1000,95.707861
-260.355506,1000,104.580092
-177.859091,1000,115.595721
275.278543,1000,124.623885
289.024516,1000,133.707665
548.708853,1000,142.574656
